M̩todo,Input,Output,PRCC
SRS,fa_threshold,n_tractos_reales,-0.980984393757503
SRS,turning_angle,n_tractos_reales,-0.34280912364945976
SRS,track_voxel_ratio,n_tractos_reales,0.8810084033613444
SRS,fa_threshold,media_conectividad,-0.9853061224489795
SRS,turning_angle,media_conectividad,0.4730372148859544
SRS,track_voxel_ratio,media_conectividad,0.7655702280912365
SRS,fa_threshold,desviacion_tipica,-0.9669627851140454
SRS,turning_angle,desviacion_tipica,0.25301320528211285
SRS,track_voxel_ratio,desviacion_tipica,0.792845138055222
SRS,fa_threshold,n_conexiones,-0.9948139255702281
SRS,turning_angle,n_conexiones,0.5498679471788716
SRS,track_voxel_ratio,n_conexiones,-0.10857142857142857
SRS,fa_threshold,coef_variacion,0.9925090036014406
SRS,turning_angle,coef_variacion,-0.5444897959183673
SRS,track_voxel_ratio,coef_variacion,-0.08830732292917168
SRS,fa_threshold,densidad_relativa,-0.9948139255702281
SRS,turning_angle,densidad_relativa,0.5498679471788716
SRS,track_voxel_ratio,densidad_relativa,-0.10857142857142857
LHS,fa_threshold,n_tractos_reales,-0.9904921968787515
LHS,turning_angle,n_tractos_reales,-0.13978391356542613
LHS,track_voxel_ratio,n_tractos_reales,0.9695558223289316
LHS,fa_threshold,media_conectividad,-0.9948139255702281
LHS,turning_angle,media_conectividad,0.7181272509003601
LHS,track_voxel_ratio,media_conectividad,0.901080432172869
LHS,fa_threshold,desviacion_tipica,-0.9891476590636255
LHS,turning_angle,desviacion_tipica,0.7099639855942377
LHS,track_voxel_ratio,desviacion_tipica,0.9176950780312124
LHS,fa_threshold,n_conexiones,-0.9975030012004802
LHS,turning_angle,n_conexiones,0.5545738295318128
LHS,track_voxel_ratio,n_conexiones,0.09647058823529413
LHS,fa_threshold,coef_variacion,0.9976950780312124
LHS,turning_angle,coef_variacion,-0.2984393757503001
LHS,track_voxel_ratio,coef_variacion,-0.1295078031212485
LHS,fa_threshold,densidad_relativa,-0.9975030012004802
LHS,turning_angle,densidad_relativa,0.5545738295318128
LHS,track_voxel_ratio,densidad_relativa,0.09647058823529413
